"anio","semana","variable","criterio","validos","NA_interno_original","NA_control_calidad","Dato_fuera_Valle"
2011,50,"temperatura","interseccion",132,657,0,0
2011,51,"temperatura","interseccion",132,657,0,0
2011,52,"temperatura","interseccion",132,657,0,0
2011,1,"radiacion","centro",27,659,0,4
2011,2,"radiacion","centro",27,659,0,4
2011,3,"radiacion","centro",27,659,0,4
2011,4,"radiacion","centro",27,659,0,4
2011,5,"radiacion","centro",27,659,0,4
2011,6,"radiacion","centro",27,659,0,4
2011,7,"radiacion","centro",27,659,0,4
2011,8,"radiacion","centro",27,659,0,4
2011,9,"radiacion","centro",27,659,0,4
2011,10,"radiacion","centro",27,659,0,4
2011,11,"radiacion","centro",27,659,0,4
2011,12,"radiacion","centro",27,659,0,4
2011,13,"radiacion","centro",27,659,0,4
2011,14,"radiacion","centro",27,659,0,4
2011,15,"radiacion","centro",27,659,0,4
2011,16,"radiacion","centro",27,659,0,4
2011,17,"radiacion","centro",27,659,0,4
2011,18,"radiacion","centro",27,659,0,4
2011,19,"radiacion","centro",27,659,0,4
2011,20,"radiacion","centro",27,659,0,4
2011,21,"radiacion","centro",27,659,0,4
2011,22,"radiacion","centro",27,659,0,4
2011,23,"radiacion","centro",27,659,0,4
2011,24,"radiacion","centro",27,659,0,4
2011,25,"radiacion","centro",27,659,0,4
2011,26,"radiacion","centro",27,659,0,4
2011,27,"radiacion","centro",27,659,0,4
2011,28,"radiacion","centro",27,659,0,4
2011,29,"radiacion","centro",27,659,0,4
2011,30,"radiacion","centro",27,659,0,4
2011,31,"radiacion","centro",27,659,0,4
2011,32,"radiacion","centro",27,659,0,4
2011,33,"radiacion","centro",27,659,0,4
2011,34,"radiacion","centro",27,659,0,4
2011,35,"radiacion","centro",27,659,0,4
2011,36,"radiacion","centro",27,659,0,4
2011,37,"radiacion","centro",27,659,0,4
2011,38,"radiacion","centro",27,659,0,4
2011,39,"radiacion","centro",27,659,0,4
2011,40,"radiacion","centro",27,659,0,4
2011,41,"radiacion","centro",27,659,0,4
2011,42,"radiacion","centro",27,659,0,4
2011,43,"radiacion","centro",27,659,0,4
2011,44,"radiacion","centro",27,659,0,4
2011,45,"radiacion","centro",27,659,0,4
2011,46,"radiacion","centro",27,659,0,4
2011,47,"radiacion","centro",27,659,0,4
2011,48,"radiacion","centro",27,659,0,4
2011,49,"radiacion","centro",27,659,0,4
2011,50,"radiacion","centro",27,659,0,4
2011,51,"radiacion","centro",27,659,0,4
2011,52,"radiacion","centro",27,659,0,4
2011,1,"radiacion","interseccion",31,758,0,0
2011,2,"radiacion","interseccion",31,758,0,0
2011,3,"radiacion","interseccion",31,758,0,0
2011,4,"radiacion","interseccion",31,758,0,0
2011,5,"radiacion","interseccion",31,758,0,0
2011,6,"radiacion","interseccion",31,758,0,0
2011,7,"radiacion","interseccion",31,758,0,0
2011,8,"radiacion","interseccion",31,758,0,0
2011,9,"radiacion","interseccion",31,758,0,0
2011,10,"radiacion","interseccion",31,758,0,0
2011,11,"radiacion","interseccion",31,758,0,0
2011,12,"radiacion","interseccion",31,758,0,0
2011,13,"radiacion","interseccion",31,758,0,0
2011,14,"radiacion","interseccion",31,758,0,0
2011,15,"radiacion","interseccion",31,758,0,0
2011,16,"radiacion","interseccion",31,758,0,0
